variable_name,variable_label
W2_HUMFL3_3,"Please read the statements below. For each one, please tell us whether the statement is not true of you at all or completely true of you. - I am always able to give up some happiness now for greater happiness later."
W2_HUMFL6_1,Please read the statements below. Please tell us how often you worry about…? - Being able to meet normal monthly living expenses
W2_HUMFL6_2,"Please read the statements below. Please tell us how often you worry about…? - Safety, food, or housing"
W2_Fed_Respect,How much do you respect those who serve in the FEDERAL government?
W2_State_Respect,How much do you respect those who serve in your STATE government?
W2_Local_Respect,How much do you respect those who serve in your LOCAL government?
W2_Media_1,"How often, if at all, do you get news or information from the following sources? - FOX News"
W2_Media_2,"How often, if at all, do you get news or information from the following sources? - CNN or MSNBC"
W2_Media_3,"How often, if at all, do you get news or information from the following sources? - ABC, CBS, or NBC News"
W2_Media_4,"How often, if at all, do you get news or information from the following sources? - New York Times, Washington Post, Wall Street Journal, or USA Today"
W2_Media_5,"How often, if at all, do you get news or information from the following sources? - Conservative online news (e.g., Breitbart, Daily Caller, Newsmax, Instapundit)"
W2_Media_6,"How often, if at all, do you get news or information from the following sources? - Digital or online news"
W2_Media_7,"How often, if at all, do you get news or information from the following sources? - Your local newspaper"
W2_Media_8,"How often, if at all, do you get news or information from the following sources? - Your local TV news"
W2_Media_9,"How often, if at all, do you get news or information from the following sources? - Public television or radio"
W2_Media_10,"How often, if at all, do you get news or information from the following sources? - Social media, YouTube, or TikTok"
W2_Media_11,"How often, if at all, do you get news or information from the following sources? - Newsletters or news items sent directly to you"
W2_Interest_1_1,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy"
W2_Interest_1_2,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy - Voting and Elections"
W2_Interest_1_3,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy – Citizenship rights and freedoms"
W2_Interest_1_4,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy – How to improve it"
W2_Interest_1_5,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Energy and climate"
W2_Interest_1_6,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Finance and investment"
W2_Interest_1_7,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Government and public policy"
W2_Interest_1_8,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Artificial Intelligence and technology"
W2_Interest_1_9,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Economics and labor"
W2_Interest_1_10,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Housing and real estate"
W2_Interest_1_11,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Personal health and well-being"
W2_Fed_Trust,How much do you trust the FEDERAL government to do what is right?
W2_State_Trust,How much do you trust your STATE government to do what is right?
W2_Local_Trust,How much do you trust your LOCAL government to do what is right?
W2_Qa_CONWATER_1,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - The federal government
W2_Qa_CONWATER_2,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Your state government
W2_Qa_CONWATER_3,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Your local government
W2_Qa_CONWATER_4,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Community organizations and/or non-profit organizations
W2_Qa_CONWATER_5,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Corporations
W2_Qb_CONCYBER_1,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - The federal government
W2_Qb_CONCYBER_2,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Your state government
W2_Qb_CONCYBER_3,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Your local government
W2_Qb_CONCYBER_4,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Community organizations and/or non-profit organizations
W2_Qb_CONCYBER_5,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Corporations
W2_Qc_CONHEALTH_1,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - The federal government
W2_Qc_CONHEALTH_2,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Your state government
W2_Qc_CONHEALTH_3,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Your local government
W2_Qc_CONHEALTH_4,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Community organizations and/or non-profit organizations
W2_Qc_CONHEALTH_5,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Corporations
W2_ONEWORD1a,What one word or phrase would you use to DEFINE American democracy?
W2_ONEWORD1b,What one word or phrase would you use to DESCRIBE American voters?
W2_ONEWORD1c,What one word or phrase would you use to DESCRIBE American government?
W2_Hope1,"Generally speaking, on a scale from 1 to 10 where 10 is “extremely hopeful” and 1 is “extremely worried” how do you feel about the future of American democracy?"
W2_POLEFFA1_1,Please indicate how much you agree or disagree with the statements below. - I have a good understanding of the political issues facing this country.
W2_POLEFFA1_2,Please indicate how much you agree or disagree with the statements below. - I know more about politics than most people of my age.
W2_POLEFFA1_3,Please indicate how much you agree or disagree with the statements below. - Public officials don’t care about what people like me think.
W2_POLEFFA1_4,Please indicate how much you agree or disagree with the statements below. - I have access to all the information I need to participate in our democracy with confidence.
W2CIVIL_2_1,How often do you think the following kinds of behaviors occur in America? - People saying things that are rude or impolite
W2CIVIL_2_2,How often do you think the following kinds of behaviors occur in America? - People sharing political views that are offensive to some
W2CIVIL_2_3,How often do you think the following kinds of behaviors occur in America? - People saying or using racial insults or slurs
W2CIVIL_2_4,How often do you think the following kinds of behaviors occur in America? - People making statements that may contribute to creating a dangerous situation
W2CIVIL_2_5,How often do you think the following kinds of behaviors occur in America? - People threatening the health and safety of someone else
W2CIVIL_1,"Please consider the following behaviors and think about whether you would encourage, react negatively, or do nothing if a person close to you: - Said something rude or impolite"
W2CIVIL_2,"Please consider the following behaviors and think about whether you would encourage, react negatively, or do nothing if a person close to you: - Shared political views that are offensive to some"
W2CIVIL_3,"Please consider the following behaviors and think about whether you would encourage, react negatively, or do nothing if a person close to you: - Said or used a racial insult or slur"
W2CIVIL_4,"Please consider the following behaviors and think about whether you would encourage, react negatively, or do nothing if a person close to you: - Made statements that may have contributed to creating a dangerous situation"
W2CIVIL_5,"Please consider the following behaviors and think about whether you would encourage, react negatively, or do nothing if a person close to you: - Threatened the health and safety of someone else"
W2_DEMPOLICYa1_1,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that ban the use of certain words in government programs"
W2_DEMPOLICYa1_2,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that promote bail reform"
W2_DEMPOLICYa1_3,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that make it easier to vote in elections"
W2_DEMPOLICYa1_4,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that create job training programs for diverse communities"
W2_DEMPOLICYa1_5,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that require gender neutral bathrooms"
W2_DEMPOLICYa1_6,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that address racial inequality in voting districts"
W2_DEMPOLICYa1_7,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that restrict hair styles in schools"
W2_DEMPOLICYa1_8,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that prevent fraud in public benefits programs"
W2_TROUBDEMO_1,Please indicate how much you agree or disagree with the statements below. - A time will come when patriotic Americans have to take the law into their own hands.
W2_TROUBDEMO_2,Please indicate how much you agree or disagree with the statements below. - The main trouble with democracy is that most people don’t really know what’s best for them.
W2_TROUBDEMO_3,Please indicate how much you agree or disagree with the statements below. - Strong leaders sometimes have to bend the rules in order to get things done.
W2_TROUBDEMO_4,Please indicate how much you agree or disagree with the statements below. - Strong leaders sometimes have to break the rules in order to get things done.
W2_TROUBDEMO_5,Please indicate how much you agree or disagree with the statements below. - Strong leaders sometimes have to follow the rules in order to get things done.
W2_TROUBDEMO_6,Please indicate how much you agree or disagree with the statements below. - The United States is on the brink of a new civil war.
W2_TROUBDEMO_7,Please indicate how much you agree or disagree with the statements below. - The United States is on the brink of a new civil war over race and ethnicity.
W2_TROUBDEMO_8,Please indicate how much you agree or disagree with the statements below. - The United States is on the brink of a new civil war over who’s a real American.
W2_TROUBDEMO_9,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins.
W2_TROUBDEMO_10,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins control of congress.
W2_TROUBDEMO_11,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins control of our state legislature.
W2_TROUBDEMO_12,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins the presidency.
W2DIVERSITYA_1,Please indicate how much you agree or disagree with the statements below. - The changing diversity of the United States will have a negative impact on me personally.
W2DIVERSITYA_2,Please indicate how much you agree or disagree with the statements below. - The changing diversity of the United States will have a negative impact on the United States overall.
W2DIVERSITYA_3,Please indicate how much you agree or disagree with the statements below. - The changing diversity of the United States will have a negative impact on America’s standing in the world.
W2DIVERSITYB_1,Please indicate how much you agree or disagree with the statements below. - The changing diversity of the United States will have a positive impact on me personally.
W2DIVERSITYB_2,Please indicate how much you agree or disagree with the statements below. - The changing diversity of the United States will have a positive impact on the United States overall.
W2DIVERSITYB_3,Please indicate how much you agree or disagree with the statements below. - The changing diversity of the United States will have a positive impact on America’s standing in the world.
W2DIVERSITY_1_val,W2DIVERSITY_1_val
W2DIVERSITY_2_val,W2DIVERSITY_2_val
W2RWA_1,Please indicate how much you agree or disagree with the statements below. - Our country desperately needs a mighty leader who will do what has to be done to destroy the radical new ideas that are ruining us.
W2RWA_2,Please indicate how much you agree or disagree with the statements below. - What our country really needs is a good stiﬀ dose of law and order.
W2RWA_3,"Please indicate how much you agree or disagree with the statements below. - We have to crack down harder on deviant groups and troublemakers, if we are going to save our moral standards and preserve law and order."
W2RWA_4,Please indicate how much you agree or disagree with the statements below. - Our country needs more disciplined citizens who follow national leaders in unity.
W2RWA_5,Please indicate how much you agree or disagree with the statements below. - The only way our country can get through the crisis ahead is to silence the troublemakers spreading bad ideas.
W2_Merit_1,Please indicate how much you agree or disagree with the statements below. - I am a good judge of whether another person needs help.
W2_Merit_2,Please indicate how much you agree or disagree with the statements below. - Everyone has it in their own power to succeed.
W2_Merit_4,"Please indicate how much you agree or disagree with the statements below. - In general, people should be more concerned about what they could lose than what society might gain."
W2GENRES_1,Please indicate how much you agree or disagree with this statement. - It is unfair that women seek to gain power by making men feel guilty about their position in society.
W2GENRES_2,Please indicate how much you agree or disagree with this statement. - It irritates me when women interpret innocent acts as being sexist.
W2GENSEXISM1,Please indicate how much you agree or disagree with this statement. - It seems that most women fail to appreciate all that men do for them.
W2GENSEXISM2,"Please indicate how much you agree or disagree with this statement. - When women lose to men in a fair competition, they typically complain about being discriminated against."
W2GENRES_5,Please indicate how much you agree or disagree with this statement. - Women receive less credit than they deserve for the challenges they face.
W2ANOMIE_1,"Please indicate how much you agree or disagree with this statement. - Next to health, money is the most important thing in life."
W2ANOMIE_2,Please indicate how much you agree or disagree with this statement. - You sometimes can't help wondering whether anything is worthwhile anymore.
W2ANOMIE_3,"Please indicate how much you agree or disagree with this statement. - Nowadays, a person has to live pretty much for today and let tomorrow take care of itself."
W2ANOMIE_4,Please indicate how much you agree or disagree with this statement. - It's hardly fair to bring a child into the world with the way things look for the future.
W2ANOMIE_5,Please indicate how much you agree or disagree with this statement. - Most people don't really care what happens to the person next to them.
W2_WRTA_1,Please indicate how much you agree or disagree with the statements below. - I resent any special considerations that African Americans receive because it’s unfair to other Americans.
W2_WRTA_2,"Please indicate how much you agree or disagree with the statements below. - For African Americans to succeed, they need to stop using past racism and slavery as excuses."
W2_WRTA_3,Please indicate how much you agree or disagree with the statements below. - Special considerations for African Americans place me at an unfair disadvantage because I have done nothing to harm them.
W2_WRTA_4,Please indicate how much you agree or disagree with the statements below. - African Americans bring up race only when they need to make an excuse for their failure.
W2_AARTW_1,Please indicate how much you agree or disagree with the statements below. - I resent when Whites deny the existence of racial discrimination.
W2_AARTW_2,Please indicate how much you agree or disagree with the statements below. - Whites get away with offenses that African Americans would never get away with.
W2_AARTW_3,Please indicate how much you agree or disagree with the statements below. - Whites do not go to great lengths to understand the problems African Americans face.
W2_AARTW_4,"Please indicate how much you agree or disagree with the statements below. - Even when African Americans work hard to succeed, Whites still view them in lesser terms."
W2_WD2_1,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - An ideal society requires some groups to be on top and others to be on the bottom."
W2_WD2_2,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - Some groups of people are simply inferior to other groups."
W2_WD2_3,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - No one group should be dominant in society."
W2_WD2_4,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - Groups at the bottom are always just as deserving as groups at the top."
W2RAPATHY_1,Please indicate the extent you agree or disagree with the following statements - I’m tired of hearing people talk about racial problems in the U.S. today.
W2RAPATHY_2,Please indicate the extent you agree or disagree with the following statements - Whites are generally treated better than other groups in American society today.
W2RAPATHY_3,"Please indicate the extent you agree or disagree with the following statements - Maybe some racial minority groups do experience unfair treatment, but that’s no business of mine."
W2_WD3_1,Please indicate how much you agree or disagree with the statements below. - The American way of life is under attack.
W2_WD3_2,Please indicate how much you agree or disagree with the statements below. - Things are really out of control in the United States.
W2_WD3_3,Please indicate how much you agree or disagree with the statements below. - The United States of the past is a much better place than the United States of the future.
W2_WD3_4,Please indicate how much you agree or disagree with the statements below. - Society is set up so that people usually get what they deserve.
W2_WD3_5,Please indicate how much you agree or disagree with the statements below. - Everyone has a fair shot at wealth and happiness if they play by the rules.
W2_WD3_6,Please indicate how much you agree or disagree with the statements below. - We must work hard to defend and preserve the way things are.
W2_WD3_7,Please indicate how much you agree or disagree with the statements below. - The United States is changing too fast.
W2CHAOS_1,Please indicate how much you agree or disagree with the statements below. - Our ability to live together as one would be fine if we didn’t have a government.
W2CHAOS_2,Please indicate how much you agree or disagree with the statements below. - I often think we need a disaster to wipe out most of humanity so that a small group of people can start all over.
W2CHAOS_3,"Please indicate how much you agree or disagree with the statements below. - Honestly, I think our current institutions of government should be burned to the ground."
W2CHAOS_4,Please indicate how much you agree or disagree with the statements below. - I think that we should allow our current government institutions to fall apart.
W2CHAOS_5,"Please indicate how much you agree or disagree with the statements below. - We cannot fix the problems in our government, we need to tear them down and start over."
W2_KNOWCIV1_MC,"In the case of a tied vote in the U.S. Senate, is the deciding vote cast by…"
W2_KNOWCIV1_TF,"In the case of a tied vote in the U.S. Senate, the deciding vote is cast by the vice president."
W2_KNOWCIV2_MC,"As you may know, a filibuster in the U.S. Senate can be used to prevent legislation from coming to a vote. Of the 100 U.S. senators, how many votes are needed to end a filibuster?"
W2_KNOWCIV2_TF,"As you may know, a filibuster in the U.S. Senate can be used to prevent legislation from coming to a vote. Of the 100 U.S. senators, 60 votes are needed to end a filibuster."
W2_KNOWCIV3_MC,Which right isn’t guaranteed in the First Amendment?
W2_KNOWCIV3_TF,The freedom to vote is a right guaranteed in the First Amendment.
W2_KNOWCIV4_MC,Which of these is a power held by the president?
W2_KNOWCIV4_TF,Making changes to taxes is a power held by the president?
W2_KNOWCIV5_MC,"According to the Declaration of Independence, what is the primary purpose of government?"
W2_KNOWCIV5_TF,"According to the Declaration of Independence, the primary purpose of the government is to provide an organized system of rule."
W2_KNOWCIV6_MC,The institution of slavery was a key issue that caused which war in the United States?
W2_KNOWCIV6_TF,The institution of slavery was a key issue that caused the American Revolutionary War in the United States?
W2_COMP_ECON,"We are interested in which statement comes closer to your views, even if neither is exactly right."
W2_COMP_GOVT,"We are interested in which statement comes closer to your views, even if neither is exactly right."
W2_COMP_JURY,"We are interested in which statement comes closer to your views, even if neither is exactly right."
W2_ATALENTS1,"In your view, has America been successful more because of its ability to change or more because of its reliance on long-standing principles?"
W2_ATALENTS2,"In your view, has America been successful more because of its democratic system of government or more because of its free-market system of business?"
W2_ATALENTS3,"In your view, has America been successful more because of its freedoms afforded in the Constitution or more because of its ability to constrain some freedoms for the greater good?"
W2_DEMO_INVEST_Fed_1_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Making it easier to vote - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_2_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that provide greater access to elected officials - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_3_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Civic learning programs for citizens that provide a common understanding about democracy - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_4_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Better general education to improve understanding of public policy issues - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_5_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Activities that build trust between community organization and government - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_6_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Charitable support for immigrants arriving in the country with very little resources - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_7_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Incentives for participation in jury duty - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_8_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Funding for public radio and television journalism - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_9_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that bring together those with different perspectives - Click to write Scale Point 1"
W2_DEMO_INVEST_Fed_10_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Amount to keep for myself - Click to write Scale Point 1"
W2_DEMO_INVEST_State_1_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Making it easier to vote - Click to write Scale Point 1"
W2_DEMO_INVEST_State_2_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that provide greater access to elected officials - Click to write Scale Point 1"
W2_DEMO_INVEST_State_3_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Civic learning programs for citizens that provide a common understanding about democracy - Click to write Scale Point 1"
W2_DEMO_INVEST_State_4_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Better general education to improve understanding of public policy issues - Click to write Scale Point 1"
W2_DEMO_INVEST_State_5_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Activities that build trust between community organization and government - Click to write Scale Point 1"
W2_DEMO_INVEST_State_6_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Charitable support for immigrants arriving in the country with very little resources - Click to write Scale Point 1"
W2_DEMO_INVEST_State_7_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Incentives for participation in jury duty - Click to write Scale Point 1"
W2_DEMO_INVEST_State_8_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Funding for public radio and television journalism - Click to write Scale Point 1"
W2_DEMO_INVEST_State_9_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that bring together those with different perspectives - Click to write Scale Point 1"
W2_DEMO_INVEST_State_10_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Amount to keep for myself - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_1_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Making it easier to vote - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_2_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that provide greater access to elected officials - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_3_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Civic learning programs for citizens that provide a common understanding about democracy - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_4_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Better general education to improve understanding of public policy issues - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_5_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Activities that build trust between community organization and government - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_6_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Charitable support for immigrants arriving in the country with very little resources - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_7_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Incentives for participation in jury duty - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_8_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Funding for public radio and television journalism - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_9_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that bring together those with different perspectives - Click to write Scale Point 1"
W2_DEMO_INVEST_Local_10_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Amount to keep for myself - Click to write Scale Point 1"
W2DEMDOLQ1_1,"In the prior set of items, you indicated that you would keep some amount of the $100 for yourself.



Why did you choose to keep some of the funds for yourself? (Check all that apply) - Selected Choice You need the money"
W2DEMDOLQ1_2,"In the prior set of items, you indicated that you would keep some amount of the $100 for yourself.



Why did you choose to keep some of the funds for yourself? (Check all that apply) - Selected Choice You feel that you deserve some money for yourself"
W2DEMDOLQ1_3,"In the prior set of items, you indicated that you would keep some amount of the $100 for yourself.



Why did you choose to keep some of the funds for yourself? (Check all that apply) - Selected Choice You do not feel government should have all of the funding"
W2DEMDOLQ1_4,"In the prior set of items, you indicated that you would keep some amount of the $100 for yourself.



Why did you choose to keep some of the funds for yourself? (Check all that apply) - Selected Choice You would want to hold some funds for other activities"
W2DEMDOLQ1_5,"In the prior set of items, you indicated that you would keep some amount of the $100 for yourself.



Why did you choose to keep some of the funds for yourself? (Check all that apply) - Selected Choice You were just having fun with the exercise"
W2DEMDOLQ1_6,"In the prior set of items, you indicated that you would keep some amount of the $100 for yourself.



Why did you choose to keep some of the funds for yourself? (Check all that apply) - Selected Choice Something else"
W2DEMDOLQ1_6_TEXT,"In the prior set of items, you indicated that you would keep some amount of the $100 for yourself.



Why did you choose to keep some of the funds for yourself? (Check all that apply) - Something else - Text"
W2_PID1,"In politics today, do you consider yourself a…"
W2_PID2,As of today do you lean more to…
W2_DOV_PID5,DOV_PID5
DOV_PID5,DOV_PID5 combined from wave 1 and wave 2
W2AFFDPOL_1,Please indicate how much you agree or disagree with the statements below. - I feel as though Republicans are very different from Democrats.
W2AFFDPOL_2,Please indicate how much you agree or disagree with the statements below. - Republicans live in a different world from those of us siding with Democrats.
W2AFFDPOL_3,Please indicate how much you agree or disagree with the statements below. - Republicans act in ways that those of us siding with Democrats could never understand.
W2AFFDPOL_4,"Please indicate how much you agree or disagree with the statements below. - As someone who sides with Democrats, I would not want to be friends with someone who was a Republican."
W2AFFDPOL_5,"Please indicate how much you agree or disagree with the statements below. - If I found out a friend of mine was a Republican, I would want to stop spending time with them."
W2AFFDPOL_6,"Please indicate how much you agree or disagree with the statements below. - Although I do not agree with their political views, there are people I like who are Republicans."
